Dato for oprettelse;Dato for afslutning;Indbetalt;Rest;Total;Antal Passagerer;Betalt til klient;Klient rest;betingelser;Jnr.;Flynr.;Fly Selskab
25/09/2015 09.11;15/03/2016 10.09;5.007,64;1.360,06;6.367,70;1;3.576,00;0;;57050;9;Norwegian Air Shuttle
25/09/2015 09.11;07/09/2016 14.21;3.530,98;801;4.331,98;1;1.268,00;461;;60632;10;KLM Royal Dutch Airlines
25/09/2015 09.11;01/11/2016 11.11;8.393,84;990;9.383,84;2;4.768,00;0;1;57100;11;Primera Air Scandinavia A/S
25/09/2015 09.11;19/12/2016 14.28;23.076,00;3.590,00;26.666,00;6;20.098,00;0;1;57101;13;
25/09/2015 09.11;17/06/2016 13.49;11.747,00;2.502,00;14.249,00;5;8.109,59;0;;57102;14;SAS
25/09/2015 09.11;01/11/2016 13.35;11.832,05;1.740,00;13.572,05;5;7.431,85;0;1;57103;15;Primera Air Scandinavia A/S
25/09/2015 09.11;03/08/2016 14.34;14.832,90;42,1;14.875,00;5;11.852,90;0;;;17;Primera Air Scandinavia A/S
25/09/2015 09.11;20/10/2015 16.54;3.730,00;0;3.730,00;2;2.797,50;0;;;23;SAS
25/09/2015 09.11;06/04/2016 10.57;0;25.175,04;25.175,04;5;0;17.425,00;;57104;26;SAS
25/09/2015 09.11;20/10/2015 16.54;1.847,68;12,32;1.860,00;1;1.381,43;0;;;30;Austrian Airlines
25/09/2015 09.11;03/10/2016 13.27;20.830,00;6.870,00;27.700,00;4;14.304,00;0;1;62142;31;Jet Time A/S
25/09/2015 09.11;22/05/2018 15.12;0;12.026,25;12.026,25;4;0;9.300,00;1;71149;32;Jet Time A/S
25/09/2015 09.11;20/10/2015 16.55;8.921,88;3,12;8.925,00;3;6.683,88;0;;;35;Andria Airways d.d.
25/09/2015 09.11;14/07/2016 15.50;0;10.424,82;10.424,82;2;0;6.970,00;;57106;38;Delta Air Lines Inc.
25/09/2015 09.11;12/06/2017 11.36;4.646,43;1,5;4.647,93;1;2.325,00;0;1;57107;39;Primera Air Scandinavia A/S
25/09/2015 09.11;21/02/2017 12.54;8.932,60;5.473,48;14.406,08;2;4.759,12;0;1;57108;40;Primera Air Scandinavia A/S
01/08/2015 12.38;28/07/2016 15.09;2.323,00;3.257,00;5.580,00;3;0;2.027,00;;;41;
19/10/2015 21.50;07/01/2016 15.30;0;17.860,00;17.860,00;4;0;13.940,00;;;43;British Airways
31/10/2015 13.46;15/03/2016 10.09;9.453,54;1.675,00;11.128,54;2;7.152,00;0;;57112;44;Norwegian Air Shuttle
20/11/2015 22.54;15/09/2017 13.57;3.692,93;27,07;3.720,00;2;2.948,86;0;;;46;EasyJet
21/11/2015 08.06;09/02/2018 13.59;8.642,78;0;8.642,78;2;6.970,00;0;1;69311;47;Primera Air Scandinavia A/S
26/11/2015 11.29;20/07/2016 16.14;10.157,29;3.057,29;13.214,58;2;7.397,83;0;;57113;48;Air France
02/12/2015 13.46;16/08/2016 15.50;0;2.975,00;2.975,00;1;0;2.325,00;;;49;BRUSSELS AIRLINES
08/12/2015 14.14;29/08/2016 13.52;0;4.565,00;4.565,00;1;0;3.485,00;;57030;50;TUIfly
16/12/2015 22.57;29/02/2016 09.49;0;22.325,00;22.325,00;5;0;17.425,00;;;52;South African Airways
03/01/2016 17.09;07/09/2016 12.04;0;4.957,20;4.957,20;2;0;2.900,00;;62143;54;SAS
06/01/2016 09.47;13/01/2016 12.53;0;8.930,00;8.930,00;2;0;6.970,00;;;55;Qatar Airways
06/01/2016 19.06;13/01/2016 12.52;0;8.930,00;8.930,00;2;0;6.970,00;;;56;Bangkok Airways
06/01/2016 21.08;13/01/2016 12.51;0;1.860,00;1.860,00;1;0;1.450,00;;;57;European Aeronautical Group UK
07/01/2016 05.29;13/01/2016 12.51;0;4.465,00;4.465,00;1;0;3.485,00;;;59;Air Greenland
07/01/2016 08.17;13/01/2016 12.51;0;4.465,00;4.465,00;1;0;3.485,00;;;61;Airservices Australia
07/01/2016 08.19;13/01/2016 12.51;0;0;0;2;0;2.900,00;;;62;Norwegian Air Shuttle
07/01/2016 08.22;13/01/2016 12.51;0;4.465,00;4.465,00;1;0;3.485,00;;;63;ATA Brasil
